+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|                 CLK_200M |              GMII_RX_CLK |                                                   nolabel_line150/SiTCP/SiTCP/GMII/GMII_RXCNT/muxMyIp_2/D|
|                 CLK_200M |              GMII_RX_CLK |                                                   nolabel_line150/SiTCP/SiTCP/GMII/GMII_RXCNT/muxMyIp_4/D|
|                 CLK_200M |              GMII_RX_CLK |                                                   nolabel_line150/SiTCP/SiTCP/GMII/GMII_RXCNT/muxMyIp_3/D|
|                 CLK_200M |              GMII_RX_CLK |                                                   nolabel_line150/SiTCP/SiTCP/GMII/GMII_RXCNT/muxMyIp_6/D|
|                 CLK_200M |              GMII_RX_CLK |                                                   nolabel_line150/SiTCP/SiTCP/GMII/GMII_RXCNT/muxMyIp_0/D|
|                 CLK_200M |              GMII_RX_CLK |                                                   nolabel_line150/SiTCP/SiTCP/GMII/GMII_RXCNT/muxMyIp_5/D|
|                 CLK_200M |              GMII_RX_CLK |                                                   nolabel_line150/SiTCP/SiTCP/GMII/GMII_RXCNT/muxMyIp_7/D|
|                 CLK_200M |              GMII_RX_CLK |                                                nolabel_line150/SiTCP/SiTCP/GMII/GMII_RXCNT/irMacFlowEnb/D|
|              GMII_RX_CLK |              GMII_RX_CLK |                                                    nolabel_line150/SiTCP/SiTCP/GMII/GMII_RXCNT/IOB_RD_6/D|
|              GMII_RX_CLK |              GMII_RX_CLK |                                                    nolabel_line150/SiTCP/SiTCP/GMII/GMII_RXCNT/IOB_RERR/D|
|              GMII_RX_CLK |              GMII_RX_CLK |                                                    nolabel_line150/SiTCP/SiTCP/GMII/GMII_RXCNT/IOB_RD_7/D|
|              GMII_RX_CLK |              GMII_RX_CLK |                                                    nolabel_line150/SiTCP/SiTCP/GMII/GMII_RXCNT/IOB_RD_5/D|
|              GMII_RX_CLK |              GMII_RX_CLK |                                                    nolabel_line150/SiTCP/SiTCP/GMII/GMII_RXCNT/IOB_RD_0/D|
|              GMII_RX_CLK |              GMII_RX_CLK |                                                    nolabel_line150/SiTCP/SiTCP/GMII/GMII_RXCNT/IOB_RD_3/D|
|              GMII_RX_CLK |              GMII_RX_CLK |                                                    nolabel_line150/SiTCP/SiTCP/GMII/GMII_RXCNT/IOB_RD_1/D|
|              GMII_RX_CLK |              GMII_RX_CLK |                                                    nolabel_line150/SiTCP/SiTCP/GMII/GMII_RXCNT/IOB_RD_2/D|
|              GMII_RX_CLK |              GMII_RX_CLK |                                                     nolabel_line150/SiTCP/SiTCP/GMII/GMII_RXCNT/IOB_RDV/D|
|              GMII_RX_CLK |              GMII_RX_CLK |                                                    nolabel_line150/SiTCP/SiTCP/GMII/GMII_RXCNT/IOB_RD_4/D|
|                 CLK_200M |                CLK_10M_1 |                                                                                      irTestSpill_reg[0]/D|
|                 CLK_200M |                CLK_10M_1 |                                                                                      irTestSpill_reg[1]/D|
|                 CLK_200M |                CLK_10M_1 |                                                                                        irTestMrsync_reg/D|
|                 CLK_200M |                CLK_10M_1 |                                                                                    irMrsyncTime_reg[20]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                    irMrsyncTime_reg[17]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                    irMrsyncTime_reg[19]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                    irMrsyncTime_reg[18]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                    irMrsyncTime_reg[28]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                    irMrsyncTime_reg[27]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                    irMrsyncTime_reg[26]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                    irMrsyncTime_reg[25]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                    irMrsyncTime_reg[23]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                    irMrsyncTime_reg[22]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                    irMrsyncTime_reg[24]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                    irMrsyncTime_reg[21]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                    irMrsyncTime_reg[13]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                    irMrsyncTime_reg[15]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                    irMrsyncTime_reg[14]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                    irMrsyncTime_reg[16]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                     irMrsyncTime_reg[9]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                    irMrsyncTime_reg[10]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                    irMrsyncTime_reg[12]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                    irMrsyncTime_reg[11]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                    irMrsyncTime_reg[31]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                    irMrsyncTime_reg[29]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                    irMrsyncTime_reg[30]/R|
|                CLK_10M_1 |                 CLK_200M |                                                                           top_mcs/enWrite_reg[0]_rep__3/D|
|                 CLK_200M |                CLK_10M_1 |                                                                                     irMrsyncTime_reg[0]/S|
|                 CLK_200M |                CLK_10M_1 |                                                                                     irMrsyncTime_reg[7]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                     irMrsyncTime_reg[5]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                     irMrsyncTime_reg[6]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                     irMrsyncTime_reg[8]/R|
|                CLK_10M_1 |                 CLK_200M |                                                                           top_mcs/enWrite_reg[0]_rep__0/D|
|                CLK_10M_1 |                 CLK_200M |                                                                                  top_mcs/enWrite_reg[0]/D|
|                CLK_10M_1 |                 CLK_200M |                                                                           top_mcs/enWrite_reg[0]_rep__4/D|
|                 CLK_200M |                CLK_10M_1 |                                                                                     irMrsyncTime_reg[1]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                     irMrsyncTime_reg[4]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                     irMrsyncTime_reg[3]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                     irMrsyncTime_reg[2]/R|
|                CLK_10M_1 |                 CLK_200M |                                                                           top_mcs/enWrite_reg[0]_rep__2/D|
|                CLK_10M_1 |                 CLK_200M |                                                                           top_mcs/enWrite_reg[0]_rep__1/D|
|                CLK_10M_1 |                 CLK_200M |                                                                           top_mcs/enWrite_reg[0]_rep__6/D|
|                CLK_10M_1 |                 CLK_200M |                                                                           top_mcs/enWrite_reg[0]_rep__7/D|
|                CLK_10M_1 |                 CLK_200M |                                                                              top_mcs/enWrite_reg[0]_rep/D|
|                 CLK_200M |                CLK_10M_1 |                                                                                     irSpillTime_reg[16]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                     irSpillTime_reg[17]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                     irSpillTime_reg[18]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                     irSpillTime_reg[19]/R|
|                CLK_10M_1 |                 CLK_200M |                                                                           top_mcs/enWrite_reg[2]_rep__6/D|
|                 CLK_200M |                CLK_10M_1 |                                                                                      irSpillTime_reg[5]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                      irSpillTime_reg[6]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                      irSpillTime_reg[4]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                      irSpillTime_reg[7]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                      irSpillTime_reg[8]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                      irSpillTime_reg[9]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                     irSpillTime_reg[10]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                     irSpillTime_reg[11]/R|
|                CLK_10M_1 |                 CLK_200M |                                                                           top_mcs/enWrite_reg[2]_rep__5/D|
|                CLK_10M_1 |                 CLK_200M |                                                                           top_mcs/enWrite_reg[2]_rep__3/D|
|                 CLK_200M |                CLK_10M_1 |                                                                                     irSpillTime_reg[21]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                     irSpillTime_reg[23]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                     irSpillTime_reg[22]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                     irSpillTime_reg[20]/R|
|                CLK_10M_1 |                 CLK_200M |                                                                           top_mcs/enWrite_reg[2]_rep__2/D|
|                 CLK_200M |                CLK_10M_1 |                                                                                     irSpillTime_reg[13]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                     irSpillTime_reg[14]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                     irSpillTime_reg[12]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                     irSpillTime_reg[15]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                     irSpillTime_reg[26]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                     irSpillTime_reg[27]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                     irSpillTime_reg[25]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                     irSpillTime_reg[24]/R|
|                CLK_10M_1 |                 CLK_200M |                                                                           top_mcs/enWrite_reg[0]_rep__5/D|
|                 CLK_200M |                CLK_10M_1 |                                                                                     irSpillTime_reg[31]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                     irSpillTime_reg[30]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                     irSpillTime_reg[28]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                     irSpillTime_reg[29]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                      irSpillTime_reg[1]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                      irSpillTime_reg[0]/S|
|                 CLK_200M |                CLK_10M_1 |                                                                                      irSpillTime_reg[3]/R|
|                 CLK_200M |                CLK_10M_1 |                                                                                      irSpillTime_reg[2]/R|
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
